35°33'40.1739"N,097°39'24.8789"W
35°33'40.6273"N,097°39'24.7526"W
35°33'41.1411"N,097°39'24.8160"W
35°33'41.7608"N,097°39'24.7526"W
35°33'42.5315"N,097°39'24.7502"W
35°33'43.4988"N,097°39'24.7511"W
35°33'43.5441"N,097°39'24.1253"W
35°33'43.4988"N,097°39'23.4968"W
35°33'43.4534"N,097°39'22.9343"W
35°33'43.4534"N,097°39'22.3043"W
35°33'44.1184"N,097°39'22.3031"W
35°33'45.2368"N,097°39'22.2393"W
35°33'46.9295"N,097°39'22.3648"W
35°33'49.4383"N,097°39'22.2371"W
35°33'52.3552"N,097°39'22.2378"W
35°33'53.0807"N,097°39'22.3644"W
35°33'53.9573"N,097°39'22.4939"W
35°33'54.9850"N,097°39'22.6188"W
35°33'56.1488"N,097°39'22.7428"W
35°33'56.4510"N,097°39'22.6173"W
35°33'58.4007"N,097°39'22.5553"W
35°34'00.6980"N,097°39'22.5555"W
35°34'02.8443"N,097°39'22.4910"W
35°34'04.9451"N,097°39'22.4281"W
35°34'06.8949"N,097°39'22.3660"W
35°34'08.6784"N,097°39'22.3010"W
35°34'10.7793"N,097°39'22.1742"W
35°34'12.6233"N,097°39'22.2352"W
35°34'14.5126"N,097°39'22.3004"W
35°34'16.3869"N,097°39'22.3576"W
35°34'18.2762"N,097°39'22.2990"W
35°34'20.1656"N,097°39'22.2365"W
35°34'22.0550"N,097°39'22.2996"W
35°34'23.9444"N,097°39'22.2353"W
35°34'25.8338"N,097°39'22.2366"W
35°34'27.7384"N,097°39'22.2361"W
35°34'29.6278"N,097°39'22.2374"W
35°34'31.5324"N,097°39'22.2425"W
35°34'33.4218"N,097°39'22.2438"W
35°34'35.3264"N,097°39'22.2433"W
35°34'37.2159"N,097°39'22.2428"W
35°34'39.1054"N,097°39'22.2458"W
35°34'40.9949"N,097°39'22.2472"W
35°34'42.8845"N,097°39'22.2485"W
35°34'44.7740"N,097°39'22.2478"W
35°34'46.6636"N,097°39'22.2454"W
35°34'47.3287"N,097°39'22.3716"W
35°34'47.8880"N,097°39'22.3716"W
35°34'48.2508"N,097°39'22.3103"W
35°34'48.5985"N,097°39'22.2451"W
35°34'49.0520"N,097°39'22.2462"W
35°34'49.5659"N,097°39'22.3097"W
35°34'50.1253"N,097°39'22.3752"W
35°34'50.8357"N,097°39'22.4399"W
35°34'51.7579"N,097°39'22.2548"W
35°34'52.9823"N,097°39'22.1915"W
35°34'54.5091"N,097°39'22.2580"W
35°34'56.0359"N,097°39'22.3225"W
35°34'57.5174"N,097°39'22.1917"W
35°34'59.2559"N,097°39'22.2538"W
35°35'00.9943"N,097°39'22.3160"W
35°35'02.7328"N,097°39'22.2508"W
35°35'04.4864"N,097°39'22.2472"W
35°35'06.2098"N,097°39'22.2457"W
35°35'08.0542"N,097°39'22.2428"W
35°35'09.8985"N,097°39'22.2419"W
35°35'11.7882"N,097°39'22.2413"W
35°35'12.2418"N,097°39'22.3044"W
35°35'12.6953"N,097°39'22.3674"W
35°35'12.9372"N,097°39'22.3034"W
35°35'12.9825"N,097°39'21.9924"W
35°35'12.9372"N,097°39'21.4277"W
35°35'12.9372"N,097°39'20.2349"W
35°35'12.9372"N,097°39'19.2242"W
35°35'12.9372"N,097°39'18.2173"W
35°35'12.9372"N,097°39'17.2122"W
35°35'12.9372"N,097°39'16.2052"W
35°35'12.9372"N,097°39'15.1982"W
35°35'12.9372"N,097°39'14.1930"W
35°35'12.9825"N,097°39'13.6251"W
35°35'12.4232"N,097°39'13.5595"W
35°35'11.7126"N,097°39'13.6204"W
35°35'11.0172"N,097°39'13.6834"W
35°35'10.3067"N,097°39'13.6207"W
35°35'09.6113"N,097°39'13.5634"W
35°35'08.9008"N,097°39'13.4987"W
35°35'08.5984"N,097°39'13.3131"W
35°35'08.2356"N,097°39'13.1269"W
35°35'08.2809"N,097°39'12.8139"W
35°35'08.2809"N,097°39'12.4371"W
35°35'08.5833"N,097°39'12.0603"W
35°35'09.0368"N,097°39'11.6171"W
35°35'09.3996"N,097°39'11.1749"W
35°35'09.7625"N,097°39'10.4835"W
35°35'10.1706"N,097°39'09.7962"W
35°35'10.7451"N,097°39'09.1061"W
35°35'11.3045"N,097°39'08.2247"W
35°35'11.9243"N,097°39'07.2780"W
35°35'12.5441"N,097°39'06.2115"W
35°35'13.1488"N,097°39'05.1429"W
35°35'13.7536"N,097°39'04.0761"W
35°35'14.1164"N,097°39'03.5721"W
35°35'14.4187"N,097°39'03.2590"W
35°35'14.4792"N,097°39'02.6330"W
35°35'14.4792"N,097°39'01.9393"W
35°35'14.4943"N,097°39'01.1255"W
35°35'14.4943"N,097°39'00.3042"W
35°35'14.4943"N,097°38'59.2353"W
35°35'14.4339"N,097°38'58.0366"W
35°35'14.3885"N,097°38'56.8417"W
35°35'14.4943"N,097°38'55.6480"W
35°35'14.4943"N,097°38'54.7666"W
35°35'14.4490"N,097°38'53.9430"W
35°35'14.9176"N,097°38'53.8204"W
35°35'15.4316"N,097°38'53.7582"W
35°35'16.2027"N,097°38'53.8214"W
35°35'16.9737"N,097°38'53.8846"W
35°35'17.7447"N,097°38'53.9478"W
35°35'18.5157"N,097°38'54.0109"W
35°35'19.3321"N,097°38'53.9488"W
35°35'20.1485"N,097°38'53.8228"W
35°35'20.3601"N,097°38'53.0684"W
35°35'20.4055"N,097°38'52.5024"W
35°35'20.6625"N,097°38'52.3110"W
35°35'21.3277"N,097°38'52.3115"W
35°35'22.0988"N,097°38'52.3109"W
35°35'22.9756"N,097°38'52.3091"W
35°35'23.1268"N,097°38'53.4390"W
35°35'23.1419"N,097°38'54.6337"W
35°35'23.0966"N,097°38'56.0154"W
35°35'23.0512"N,097°38'57.5230"W
35°35'23.0512"N,097°38'59.0307"W
35°35'23.0512"N,097°39'00.4109"W
35°35'22.3860"N,097°39'00.5958"W
35°35'21.2068"N,097°39'00.6576"W
35°35'19.7705"N,097°39'00.5938"W
35°35'18.5913"N,097°39'00.6573"W
35°35'17.1551"N,097°39'00.5935"W
35°35'15.5072"N,097°39'00.5940"W
35°35'14.3885"N,097°39'00.5940"W
35°35'14.3734"N,097°39'01.4754"W
35°35'14.3734"N,097°39'02.7281"W
35°35'14.3280"N,097°39'03.1064"W
35°35'13.9199"N,097°39'03.7996"W
35°35'13.3000"N,097°39'04.8063"W
35°35'12.3174"N,097°39'06.3187"W
35°35'11.2440"N,097°39'08.0200"W
35°35'10.0497"N,097°39'09.8424"W
35°35'09.2636"N,097°39'11.2229"W
35°35'08.5530"N,097°39'11.9795"W
35°35'08.2960"N,097°39'12.3565"W
35°35'08.2960"N,097°39'13.0466"W
35°35'09.0217"N,097°39'13.6158"W
35°35'10.2009"N,097°39'13.4943"W
35°35'11.4254"N,097°39'13.4967"W
35°35'12.6500"N,097°39'13.4974"W
35°35'12.9070"N,097°39'14.1309"W
35°35'12.9070"N,097°39'15.2598"W
35°35'12.9070"N,097°39'16.8294"W
35°35'12.9070"N,097°39'18.7141"W
35°35'12.9070"N,097°39'20.7279"W
35°35'12.9070"N,097°39'22.1101"W
35°35'14.6002"N,097°39'22.2356"W
35°35'16.6411"N,097°39'22.2380"W
35°35'18.6820"N,097°39'22.2403"W
35°35'20.7381"N,097°39'22.2426"W
35°35'22.7791"N,097°39'22.2430"W
35°35'24.8201"N,097°39'22.2435"W
35°35'27.0122"N,097°39'22.2467"W
35°35'29.4615"N,097°39'22.4973"W
35°35'32.0165"N,097°39'22.5594"W
35°35'34.6170"N,097°39'22.5579"W
35°35'36.3557"N,097°39'22.3068"W
35°35'38.5480"N,097°39'22.3045"W
35°35'40.4983"N,097°39'22.3024"W
35°35'42.5999"N,097°39'22.4927"W
35°35'44.7469"N,097°39'22.6195"W
35°35'47.1509"N,097°39'22.5585"W
35°35'49.7061"N,097°39'22.4948"W
35°35'52.3219"N,097°39'22.4277"W
35°35'54.8771"N,097°39'22.4298"W
35°35'56.8125"N,097°39'22.4914"W
35°35'57.6744"N,097°39'22.6172"W
35°35'58.0373"N,097°39'22.1768"W
35°35'58.4001"N,097°39'21.4235"W
35°35'58.9596"N,097°39'20.4801"W
35°35'59.9273"N,097°39'19.4118"W
35°36'00.7891"N,097°39'18.5323"W
35°36'01.4544"N,097°39'18.3435"W
35°36'02.3768"N,097°39'18.4040"W
35°36'03.0875"N,097°39'18.5307"W
35°36'03.7981"N,097°39'18.6554"W
35°36'04.2064"N,097°39'17.9023"W
35°36'04.7205"N,097°39'17.1460"W
35°36'05.2799"N,097°39'16.3940"W
35°36'05.5370"N,097°39'15.5761"W
35°36'05.8999"N,097°39'14.6293"W
35°36'06.4140"N,097°39'14.3138"W
35°36'06.5652"N,097°39'13.6810"W
35°36'06.4593"N,097°39'12.9882"W
35°36'06.1569"N,097°39'12.6110"W
35°36'05.7487"N,097°39'13.1109"W
35°36'05.1892"N,097°39'13.3623"W
35°36'04.5693"N,097°39'13.0412"W
35°36'04.4785"N,097°39'12.2904"W
35°36'04.5239"N,097°39'12.9192"W
35°36'04.9775"N,097°39'13.0478"W
35°36'05.6428"N,097°39'13.1722"W
35°36'06.4593"N,097°39'12.8588"W
35°36'06.8222"N,097°39'12.9230"W
35°36'06.5652"N,097°39'13.3640"W
35°36'06.2628"N,097°39'14.3653"W
35°36'05.7487"N,097°39'15.3073"W
35°36'05.3858"N,097°39'16.3140"W
35°36'04.7658"N,097°39'17.1952"W
35°36'04.0854"N,097°39'18.0140"W
35°36'03.5713"N,097°39'18.5806"W
35°36'03.0572"N,097°39'18.5811"W
35°36'02.3314"N,097°39'18.4562"W
35°36'01.5603"N,097°39'18.2654"W
35°36'01.1067"N,097°39'18.2023"W
35°36'00.7438"N,097°39'18.7064"W
35°36'00.1239"N,097°39'19.2107"W
35°35'59.6098"N,097°39'19.8411"W
35°35'59.0957"N,097°39'20.5335"W
35°35'58.3850"N,097°39'21.2284"W
35°35'58.0826"N,097°39'21.9202"W
35°36'33.0729"N,097°39'22.5595"W
35°36'32.9671"N,097°39'20.4843"W
35°36'32.9671"N,097°39'18.2184"W
35°36'32.9671"N,097°39'15.7031"W
35°36'33.0729"N,097°39'12.8751"W
35°36'33.1183"N,097°39'09.8574"W
35°36'32.9066"N,097°39'06.3971"W
35°36'32.9519"N,097°39'02.5635"W
35°36'32.9973"N,097°38'58.6659"W
35°36'32.9066"N,097°38'54.5180"W
35°36'32.8612"N,097°38'50.1754"W
35°36'32.8158"N,097°38'45.8366"W
35°36'32.7705"N,097°38'41.4976"W
35°36'32.4680"N,097°38'37.9769"W
35°36'32.4680"N,097°38'35.5890"W
35°36'32.1656"N,097°38'32.9461"W
35°36'31.9539"N,097°38'30.6207"W
35°36'31.8480"N,097°38'28.9206"W
35°36'31.7422"N,097°38'27.4061"W
35°36'31.8480"N,097°38'25.3342"W
