35°31'35.9719"N,097°34'05.9802"W
35°31'36.3798"N,097°34'05.9806"W
35°31'36.8934"N,097°34'06.0453"W
35°31'37.4070"N,097°34'06.1699"W
35°31'37.7091"N,097°34'06.8555"W
35°31'37.9206"N,097°34'07.6080"W
35°31'38.2228"N,097°34'08.2956"W
35°31'38.5249"N,097°34'08.9868"W
35°31'38.8270"N,097°34'09.6817"W
35°31'39.1291"N,097°34'10.3711"W
35°31'39.3860"N,097°34'11.1258"W
35°31'39.6428"N,097°34'11.8824"W
35°31'40.0507"N,097°34'12.5704"W
35°31'40.4434"N,097°34'13.3840"W
35°31'40.7002"N,097°34'13.7601"W
35°31'40.8513"N,097°34'13.5699"W
35°31'41.0628"N,097°34'13.3818"W
35°31'41.2139"N,097°34'13.3190"W
35°31'40.9268"N,097°34'12.8788"W
35°31'40.8211"N,097°34'12.1868"W
35°31'40.2621"N,097°34'11.3050"W
35°31'39.5975"N,097°34'09.7384"W
35°31'38.9479"N,097°34'08.1684"W
35°31'38.3436"N,097°34'06.6005"W
35°31'37.7242"N,097°34'05.0324"W
35°31'37.1049"N,097°34'03.4624"W
35°31'36.4855"N,097°34'01.8964"W
35°31'35.7000"N,097°34'00.6384"W
35°31'35.0353"N,097°33'58.7535"W
35°31'34.3706"N,097°33'56.8685"W
35°31'33.7210"N,097°33'54.9875"W
35°31'33.5246"N,097°33'53.0413"W
35°31'33.0866"N,097°33'51.0340"W
35°31'32.6787"N,097°33'48.7721"W
35°31'32.2708"N,097°33'47.0141"W
35°31'32.0140"N,097°33'45.2514"W
35°31'31.7572"N,097°33'43.4269"W
35°31'31.4551"N,097°33'41.6058"W
35°31'31.0472"N,097°33'39.7842"W
35°31'30.7904"N,097°33'38.0252"W
35°31'30.4732"N,097°33'36.2641"W
35°31'30.1710"N,097°33'34.5685"W
35°31'29.8689"N,097°33'32.8712"W
35°31'29.5668"N,097°33'31.4286"W
35°31'29.5668"N,097°33'30.4862"W
35°31'29.5668"N,097°33'28.9159"W
35°31'29.1589"N,097°33'27.7220"W
35°31'28.7964"N,097°33'25.7114"W
35°31'28.4943"N,097°33'23.7011"W
35°31'28.1921"N,097°33'21.6891"W
35°31'27.9051"N,097°33'19.6788"W
35°31'27.6181"N,097°33'17.6630"W
35°31'27.3160"N,097°33'15.6546"W
35°31'26.9081"N,097°33'13.7075"W
35°31'26.5003"N,097°33'11.7586"W
35°31'26.0924"N,097°33'09.8096"W
35°31'25.6845"N,097°33'07.8644"W
35°31'25.2767"N,097°33'05.9155"W
35°31'24.8688"N,097°33'03.9703"W
35°31'24.9746"N,097°33'02.3369"W
35°31'24.5214"N,097°32'59.6982"W
35°31'24.0531"N,097°32'57.0595"W
35°31'23.6906"N,097°32'54.6067"W
35°31'23.3280"N,097°32'51.7793"W
35°31'23.1316"N,097°32'51.4634"W
35°31'23.1316"N,097°32'51.1468"W
35°31'22.9806"N,097°32'50.2055"W
35°31'22.6181"N,097°32'50.0799"W
35°31'22.0138"N,097°32'50.0166"W
35°31'22.4670"N,097°32'49.8279"W
35°31'22.7691"N,097°32'49.4511"W
35°31'22.5123"N,097°32'48.1307"W
35°31'22.3008"N,097°32'46.6269"W
35°31'21.7872"N,097°32'44.8028"W
35°31'21.3794"N,097°32'42.8559"W
35°31'20.9715"N,097°32'40.9089"W
35°31'20.5637"N,097°32'38.9655"W
35°31'20.2011"N,097°32'37.8358"W
35°31'19.8386"N,097°32'36.3275"W
35°31'19.5969"N,097°32'34.7598"W
35°31'19.3854"N,097°32'33.6926"W
35°31'19.3250"N,097°32'32.5624"W
35°31'19.1135"N,097°32'31.7444"W
35°31'18.8567"N,097°32'30.5496"W
35°31'18.6453"N,097°32'28.9164"W
35°31'18.3431"N,097°32'27.3428"W
35°31'18.2827"N,097°32'25.7088"W
35°31'18.4338"N,097°32'24.3249"W
35°31'18.5395"N,097°32'22.8191"W
35°31'18.6906"N,097°32'21.2534"W
35°31'18.8416"N,097°32'19.2419"W
35°31'18.8567"N,097°32'17.4845"W
35°31'18.8114"N,097°32'15.4737"W
35°31'18.8114"N,097°32'13.3978"W
35°31'18.8567"N,097°32'11.2583"W
35°31'19.0682"N,097°32'09.2489"W
35°31'19.0682"N,097°32'08.3702"W
35°31'19.1135"N,097°32'07.4280"W
35°31'18.8567"N,097°32'06.7989"W
35°31'18.4489"N,097°32'05.8544"W
35°31'17.9353"N,097°32'05.1642"W
35°31'17.1649"N,097°32'04.4146"W
35°31'16.5456"N,097°32'04.1621"W
35°31'15.3674"N,097°32'04.0943"W
35°31'14.0381"N,097°32'04.0294"W
35°31'13.0714"N,097°32'04.0900"W
35°31'11.3796"N,097°32'03.9653"W
35°31'09.9295"N,097°32'04.0272"W
35°31'08.4945"N,097°32'04.0274"W
