35°31'33.3283"N,097°34'04.4009"W
35°31'32.3917"N,097°34'04.3377"W
35°31'31.4702"N,097°34'04.2745"W
35°31'30.5940"N,097°34'04.3335"W
35°31'29.7783"N,097°34'04.2709"W
35°31'29.0079"N,097°34'04.2704"W
35°31'28.1921"N,097°34'04.4008"W
35°31'27.3160"N,097°34'04.2723"W
35°31'26.6664"N,097°34'04.3342"W
35°31'26.2133"N,097°34'04.3336"W
35°31'25.8054"N,097°34'04.3295"W
35°31'25.8507"N,097°34'03.6383"W
35°31'25.8960"N,097°34'02.6961"W
35°31'25.9262"N,097°34'01.3772"W
35°31'25.9716"N,097°34'00.0583"W
35°31'26.1830"N,097°33'59.3681"W
35°31'26.2284"N,097°33'58.5514"W
35°31'26.1830"N,097°33'57.7979"W
35°31'26.1830"N,097°33'57.2958"W
35°31'26.1830"N,097°33'56.7936"W
35°31'26.1830"N,097°33'56.3552"W
35°31'25.3220"N,097°33'56.2941"W
35°31'24.3703"N,097°33'56.3601"W
35°31'23.1921"N,097°33'56.2339"W
35°31'22.0742"N,097°33'56.2333"W
35°31'20.9564"N,097°33'56.2308"W
35°31'20.0803"N,097°33'56.3573"W
35°31'19.0682"N,097°33'56.2993"W
35°31'17.8900"N,097°33'56.3621"W
35°31'16.3039"N,097°33'56.3009"W
35°31'15.0804"N,097°33'56.3616"W
35°31'13.9021"N,097°33'56.2390"W
35°31'12.8750"N,097°33'56.3626"W
35°31'11.5004"N,097°33'56.3008"W
35°31'10.1258"N,097°33'56.2426"W
35°31'08.7966"N,097°33'56.3684"W
35°31'07.5127"N,097°33'56.3071"W
35°31'06.2438"N,097°33'56.2456"W
35°31'04.9599"N,097°33'56.2442"W
35°31'03.6760"N,097°33'56.2447"W
35°31'02.3921"N,097°33'56.2452"W
35°31'01.1082"N,097°33'56.3112"W
35°30'59.8847"N,097°33'56.3119"W
35°30'58.5102"N,097°33'56.2463"W
35°30'57.1357"N,097°33'56.3681"W
35°30'55.8065"N,097°33'56.3719"W
35°30'54.4773"N,097°33'56.3723"W
35°30'53.1935"N,097°33'56.2490"W
35°30'51.9096"N,097°33'56.1877"W
35°30'50.6258"N,097°33'56.2555"W
35°30'49.4023"N,097°33'56.1945"W
35°30'48.0732"N,097°33'56.2527"W
